Job Class,Percentage
Management,6.1,https://www.google.com
Business and Financial operations,5,https://www.google.com
Computer and Mathematical,2.7,https://www.google.com
Architecture and Engineering,1.7,https://www.google.com
"Life, Physical and Social Science",0.9,https://www.google.com
Community and Social Service,1.6,https://www.google.com
Legal,0.8,https://www.google.com
"Education, training and library",6.1,https://www.google.com
"Arts, design, entertainment, sports and media",1.7,https://www.google.com
Healthcare practioners and technical,5.5,https://www.google.com
Healthcare support,2.8,https://www.google.com
Protective service,2.3,https://www.google.com
Food preparation and serving,8.3,https://www.google.com
Building and grounds cleaning and maintenance,3.7,https://www.google.com
Personal care and service,4,https://www.google.com
Sales,10.2,https://www.google.com
Office and administrative support,15.1,https://www.google.com
"Farming, fishing and forestry",0.6,https://www.google.com
Construction and extraction,4.3,https://www.google.com
"Installation, maintenance and repair",3.8,https://www.google.com
Production,6.1,https://www.google.com
Transportation and material moving,6.5,https://www.google.com
Total,99.8,https://www.google.com
